instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_actual,hum_actual,windspeed_actual,day_temp_actual,day_hum_actual,day_windspeed_actual,day_cnt
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,13.620000000000001,88.0,19.999499999999998,14.110847,80.58330000000001,10.749882,985
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,13.620000000000001,88.0,19.999499999999998,14.902598000000001,69.6087,16.652113,801
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,12.68,94.0,16.997899999999998,14.902598000000001,69.6087,16.652113,801
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,11.739999999999998,100.0,19.0012,14.902598000000001,69.6087,16.652113,801
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,13.620000000000001,94.0,12.998000000000001,14.902598000000001,69.6087,16.652113,801
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,13.620000000000001,94.0,12.998000000000001,14.902598000000001,69.6087,16.652113,801
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,11.739999999999998,77.0,19.999499999999998,14.902598000000001,69.6087,16.652113,801
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,10.8,76.0,12.998000000000001,14.902598000000001,69.6087,16.652113,801
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,10.8,71.0,15.001299999999999,14.902598000000001,69.6087,16.652113,801
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,9.86,76.0,15.001299999999999,14.902598000000001,69.6087,16.652113,801
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,8.919999999999998,81.0,15.001299999999999,14.902598000000001,69.6087,16.652113,801
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,8.919999999999998,71.0,16.997899999999998,14.902598000000001,69.6087,16.652113,801
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,8.919999999999998,66.0,19.999499999999998,14.902598000000001,69.6087,16.652113,801
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,8.919999999999998,66.0,8.9981,14.902598000000001,69.6087,16.652113,801
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,8.919999999999998,76.0,12.998000000000001,14.902598000000001,69.6087,16.652113,801
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,7.98,81.0,11.0014,14.902598000000001,69.6087,16.652113,801
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,7.98,71.0,11.0014,14.902598000000001,69.6087,16.652113,801
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,7.98,56.99999999999999,12.998000000000001,14.902598000000001,69.6087,16.652113,801
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,8.919999999999998,46.0,22.0028,14.902598000000001,69.6087,16.652113,801
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,7.040000000000001,42.0,30.002599999999997,14.902598000000001,69.6087,16.652113,801
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,6.1,39.0,23.9994,14.902598000000001,69.6087,16.652113,801
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,4.220000000000001,44.0,22.0028,14.902598000000001,69.6087,16.652113,801
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,3.2799999999999994,44.0,19.999499999999998,14.902598000000001,69.6087,16.652113,801
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,2.34,47.0,11.0014,14.902598000000001,69.6087,16.652113,801
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,2.34,44.0,23.9994,8.050924,43.7273,16.636703,1349
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,1.4000000000000004,44.0,27.999299999999998,8.050924,43.7273,16.636703,1349
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,-0.47999999999999954,47.0,26.0027,8.050924,43.7273,16.636703,1349
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,-0.47999999999999954,47.0,19.0012,8.050924,43.7273,16.636703,1349
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,-1.419999999999999,50.0,26.0027,8.050924,43.7273,16.636703,1349
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,-1.419999999999999,50.0,12.998000000000001,8.050924,43.7273,16.636703,1349
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,-1.419999999999999,50.0,19.0012,8.050924,43.7273,16.636703,1349
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,-0.47999999999999954,43.0,26.0027,8.050924,43.7273,16.636703,1349
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,0.4599999999999991,43.0,16.997899999999998,8.050924,43.7273,16.636703,1349
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,1.4000000000000004,40.0,22.0028,8.050924,43.7273,16.636703,1349
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,2.34,35.0,19.999499999999998,8.050924,43.7273,16.636703,1349
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,3.2799999999999994,35.0,19.0012,8.050924,43.7273,16.636703,1349
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,4.220000000000001,30.0,19.0012,8.050924,43.7273,16.636703,1349
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,4.220000000000001,30.0,16.997899999999998,8.050924,43.7273,16.636703,1349
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,4.220000000000001,30.0,16.997899999999998,8.050924,43.7273,16.636703,1349
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,3.2799999999999994,30.0,15.001299999999999,8.050924,43.7273,16.636703,1349
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,3.2799999999999994,32.0,7.0015,8.050924,43.7273,16.636703,1349
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,1.4000000000000004,47.0,0.0,8.050924,43.7273,16.636703,1349
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,1.4000000000000004,47.0,7.0015,8.050924,43.7273,16.636703,1349
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,0.4599999999999991,64.0,8.9981,8.050924,43.7273,16.636703,1349
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,-1.419999999999999,69.0,8.9981,8.050924,43.7273,16.636703,1349
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,0.4599999999999991,55.00000000000001,7.0015,8.050924,43.7273,16.636703,1349
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,-0.47999999999999954,55.00000000000001,7.0015,8.200000000000001,59.0435,10.739832,1562
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,-0.47999999999999954,59.0,7.0015,8.200000000000001,59.0435,10.739832,1562
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,-1.419999999999999,63.0,8.9981,8.200000000000001,59.0435,10.739832,1562
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,-1.419999999999999,63.0,6.0032,8.200000000000001,59.0435,10.739832,1562
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,-2.3600000000000003,68.0,7.0015,8.200000000000001,59.0435,10.739832,1562
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,-2.3600000000000003,74.0,7.0015,8.200000000000001,59.0435,10.739832,1562
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,-2.3600000000000003,74.0,8.9981,8.200000000000001,59.0435,10.739832,1562
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,-1.419999999999999,69.0,11.0014,8.200000000000001,59.0435,10.739832,1562
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,-0.47999999999999954,64.0,15.001299999999999,8.200000000000001,59.0435,10.739832,1562
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,-0.47999999999999954,69.0,22.0028,8.200000000000001,59.0435,10.739832,1562
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,2.34,51.0,19.999499999999998,8.200000000000001,59.0435,10.739832,1562
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,2.34,51.0,11.0014,8.200000000000001,59.0435,10.739832,1562
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,3.2799999999999994,56.00000000000001,12.998000000000001,8.200000000000001,59.0435,10.739832,1562
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,4.220000000000001,52.0,15.001299999999999,8.200000000000001,59.0435,10.739832,1562
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,5.160000000000002,52.0,16.997899999999998,8.200000000000001,59.0435,10.739832,1562
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,6.1,49.0,16.997899999999998,8.200000000000001,59.0435,10.739832,1562
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,5.160000000000002,48.0,15.001299999999999,8.200000000000001,59.0435,10.739832,1562
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,4.220000000000001,48.0,12.998000000000001,8.200000000000001,59.0435,10.739832,1562
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,3.2799999999999994,48.0,7.0015,8.200000000000001,59.0435,10.739832,1562
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,3.2799999999999994,48.0,7.0015,8.200000000000001,59.0435,10.739832,1562
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,2.34,64.0,0.0,8.200000000000001,59.0435,10.739832,1562
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,2.34,64.0,6.0032,8.200000000000001,59.0435,10.739832,1562
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,1.4000000000000004,69.0,6.0032,8.200000000000001,59.0435,10.739832,1562
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,1.4000000000000004,64.0,0.0,9.305237,43.695699999999995,12.522300000000001,1600
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,-0.47999999999999954,74.0,6.0032,9.305237,43.695699999999995,12.522300000000001,1600
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,-0.47999999999999954,74.0,6.0032,9.305237,43.695699999999995,12.522300000000001,1600
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,3.2799999999999994,48.0,15.001299999999999,9.305237,43.695699999999995,12.522300000000001,1600
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,2.34,47.0,11.0014,9.305237,43.695699999999995,12.522300000000001,1600
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,1.4000000000000004,47.0,15.001299999999999,9.305237,43.695699999999995,12.522300000000001,1600
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,0.4599999999999991,43.0,12.998000000000001,9.305237,43.695699999999995,12.522300000000001,1600
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,1.4000000000000004,40.0,19.999499999999998,9.305237,43.695699999999995,12.522300000000001,1600
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,2.34,37.0,22.0028,9.305237,43.695699999999995,12.522300000000001,1600
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,2.34,37.0,22.0028,9.305237,43.695699999999995,12.522300000000001,1600
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,4.220000000000001,33.0,22.0028,9.305237,43.695699999999995,12.522300000000001,1600
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,4.220000000000001,33.0,22.0028,9.305237,43.695699999999995,12.522300000000001,1600
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,5.160000000000002,30.0,19.999499999999998,9.305237,43.695699999999995,12.522300000000001,1600
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,6.1,28.000000000000004,12.998000000000001,9.305237,43.695699999999995,12.522300000000001,1600
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,6.1,28.000000000000004,12.998000000000001,9.305237,43.695699999999995,12.522300000000001,1600
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,6.1,28.000000000000004,6.0032,9.305237,43.695699999999995,12.522300000000001,1600
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,3.2799999999999994,38.0,12.998000000000001,9.305237,43.695699999999995,12.522300000000001,1600
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,3.2799999999999994,38.0,8.9981,9.305237,43.695699999999995,12.522300000000001,1600
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,3.2799999999999994,38.0,7.0015,9.305237,43.695699999999995,12.522300000000001,1600
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,2.34,47.0,11.0014,9.305237,43.695699999999995,12.522300000000001,1600
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,1.4000000000000004,51.0,12.998000000000001,9.305237,43.695699999999995,12.522300000000001,1600
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,0.4599999999999991,55.00000000000001,8.9981,9.305237,43.695699999999995,12.522300000000001,1600
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,1.4000000000000004,47.0,0.0,9.305237,43.695699999999995,12.522300000000001,1600
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,0.4599999999999991,55.00000000000001,0.0,8.378268,51.8261,6.0008684,1606
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,-0.47999999999999954,64.0,0.0,8.378268,51.8261,6.0008684,1606
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,-0.47999999999999954,64.0,0.0,8.378268,51.8261,6.0008684,1606
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,-0.47999999999999954,64.0,6.0032,8.378268,51.8261,6.0008684,1606
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,-1.419999999999999,69.0,6.0032,8.378268,51.8261,6.0008684,1606
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,-1.419999999999999,63.0,7.0015,8.378268,51.8261,6.0008684,1606
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,-0.47999999999999954,59.0,0.0,8.378268,51.8261,6.0008684,1606
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,-0.47999999999999954,59.0,0.0,8.378268,51.8261,6.0008684,1606
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,0.4599999999999991,51.0,0.0,8.378268,51.8261,6.0008684,1606
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,1.4000000000000004,47.0,0.0,8.378268,51.8261,6.0008684,1606
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,2.34,44.0,6.0032,8.378268,51.8261,6.0008684,1606
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,4.220000000000001,35.0,0.0,8.378268,51.8261,6.0008684,1606
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,4.220000000000001,35.0,7.0015,8.378268,51.8261,6.0008684,1606
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,5.160000000000002,36.0,11.0014,8.378268,51.8261,6.0008684,1606
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,5.160000000000002,36.0,0.0,8.378268,51.8261,6.0008684,1606
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,4.220000000000001,38.0,11.0014,8.378268,51.8261,6.0008684,1606
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,2.34,51.0,11.0014,8.378268,51.8261,6.0008684,1606
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,2.34,51.0,8.9981,8.378268,51.8261,6.0008684,1606
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,2.34,55.00000000000001,6.0032,8.378268,51.8261,6.0008684,1606
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,1.4000000000000004,51.0,11.0014,8.378268,51.8261,6.0008684,1606
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,2.34,55.00000000000001,15.001299999999999,8.378268,51.8261,6.0008684,1606
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,2.34,51.0,19.0012,8.378268,51.8261,6.0008684,1606
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,1.4000000000000004,59.0,12.998000000000001,8.378268,51.8261,6.0008684,1606
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,1.4000000000000004,64.0,12.998000000000001,8.057402,49.8696,11.304642,1510
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,1.4000000000000004,69.0,15.001299999999999,8.057402,49.8696,11.304642,1510
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,1.4000000000000004,69.0,15.001299999999999,8.057402,49.8696,11.304642,1510
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,1.4000000000000004,69.0,8.9981,8.057402,49.8696,11.304642,1510
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,2.34,55.00000000000001,0.0,8.057402,49.8696,11.304642,1510
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,1.4000000000000004,69.0,0.0,8.057402,49.8696,11.304642,1510
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,1.4000000000000004,69.0,8.9981,8.057402,49.8696,11.304642,1510
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,1.4000000000000004,51.0,16.997899999999998,8.057402,49.8696,11.304642,1510
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,1.4000000000000004,47.0,19.999499999999998,8.057402,49.8696,11.304642,1510
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,2.34,37.0,22.0028,8.057402,49.8696,11.304642,1510
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,1.4000000000000004,40.0,15.001299999999999,8.057402,49.8696,11.304642,1510
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,1.4000000000000004,37.0,16.997899999999998,8.057402,49.8696,11.304642,1510
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,1.4000000000000004,37.0,19.0012,8.057402,49.8696,11.304642,1510
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,1.4000000000000004,40.0,16.997899999999998,8.057402,49.8696,11.304642,1510
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,1.4000000000000004,37.0,11.0014,8.057402,49.8696,11.304642,1510
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,1.4000000000000004,37.0,11.0014,8.057402,49.8696,11.304642,1510
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,1.4000000000000004,37.0,0.0,8.057402,49.8696,11.304642,1510
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,1.4000000000000004,40.0,6.0032,8.057402,49.8696,11.304642,1510
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,-0.47999999999999954,55.00000000000001,6.0032,8.057402,49.8696,11.304642,1510
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,0.4599999999999991,47.0,7.0015,8.057402,49.8696,11.304642,1510
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,0.4599999999999991,47.0,8.9981,8.057402,49.8696,11.304642,1510
